Spell_Name	Type
Alarm	Abjuration
Arcane_Lock	Abjuration
Augury	Divination
Awaken	Transmutation
Banishment	Abjuration
Barkskin	Transmutation
Bless	Enchantment
Blur	Illusion
Clone	Necromancy
Confusion	Enchantment
Contingency	Evocation
Cure_Wounds	Evocation
Daylight	Evocation
Earthquake	Evocation
Eagles_Splendor	Transmutation
Enthrall	Enchantment
Etherealness	Transmutation
Eyebite	Necromancy
Fabricate	Transmutation
Fear	Illusion
Fireball	Evocation
Forcecage	Evocation
Geas	Enchantment
Hallow	Evocation
Harm	Necromancy
Haste	Transmutation
Heal	Evocation
Heroism	Enchantment
Identify	Divination
Jump	Transmutation
Knock	Transmutation
Magic_Missile	Evocation
Mass_Heal	Evocation
Maze	Conjuration
Misdirection	Illusion
Mislead	Illusion
Overland_Flight	Transmutation
Passwall	Transmutation
Polymorph	Transmutation
Rage	Enchantment
Regenerate	Transmutation
Sending	Evocation
Shatter	Evocation
Silence	Illusion
Sleep	Enchantment
Slow	Transmutation
Stoneskin	Abjuration
Sunbeam	Evocation
Sunburst	Evocation
Sympathy	Enchantment
Telekinesis	Transmutation
Teleport	Conjuration
Thunderwave	Evocation
Tongues	Divination
Vision	Divination
Wish	Conjuration
